prdtNum,name,desc,price,tamnao_category,shop_category,import_status,customs_note,line_note,thumbnail,url
"SV00002777","과즙가득 제주 황금향 산지직송 유진팡","한 입 가득 상큼함을 맛보세요!","23100","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00002777_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002777"
"SV00001755","[유진팡]제주산 무농약 초록바나나","1.5kg / 2.5kg / 5kg","21000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001755_2.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001755"
"SV00004609","제주산 가정용 블러드 오렌지 중소과 혼합","붉고 진한맛!","20900","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004609_2.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004609"
"SV00002006","[제주직송] 그린파파야 3kg 5kg 10kg","싱싱한 제주도 그린파파야","29000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00002006_9.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002006"
"SV00003476","한라산숲향기 참나무표고버섯 - 3알뜰표고선물세트","통표고와슬라이스표고 3봉 합300g","35000","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00003476_2.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00003476"
"SV00004228","한라산숲향기 참나무표고버섯 -2 탐나는표고선물세트","통표고와슬라이스표고 3봉 합400g","45000","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00004228_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004228"
"SV00004230","한라산숲향기 참나무표고버섯 - 4풍미표고선물세트","통표고,슬라이스표고,표고칩 3봉 합330g","39000","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00004230_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004230"
"SV00004720","제주 건나물 5종 세트","","19000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004720_1.webp","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004720"
"SV00004830","무농약 미니 단호박 보우짱","","12000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004830_1.webp","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004830"
"SV00004857","오직 제주콩100% 수제 두부 5종","제주콩과 천일염으로 만든 화학소포제 없는 전통 수제두부 5종","27500","농산품","food","restricted","신선 식품 — 당일 소비용이라 반입에 적합하지 않아요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004857_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004857"
"SV00004463","제주산 푸른 독새기콩 농가직송 (제주 토종콩)","제주에서 재배한 푸른 독새기콩을 농가에서 바로 보내드립니다.","13900","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00004463_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004463"
"SV00004771","제주 시로이 미니 단호박 산지직송 3kg·5kg","흔히 만나기 어려운 시로이 품종, 작지만 진한 밤맛을 담은 제주 미니 단호박","21500","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004771_3.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004771"
"SV00004894","제주 대정 통마늘 알마늘 농가직송","제주 대정 알마늘 잘 말려 더 편리한 제주산 통마늘","25900","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004894_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004894"
